Date = 2017-10-05 12:28:57.4568; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:02.5210; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:03.6645; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:04.4211; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:05.1333; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:05.6285; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:10.1910; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:10.6365; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:17.1953; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:34.8963; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:35.5420; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:36.1564; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:36.5890; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:37.7718; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:41.5100; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:42.0349; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:42.4905; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:43.9260; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:44.5248; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:44.9801; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:45.6448; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:46.8013; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:49.9652; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:50.7123; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:29:54.2917; IP = ; URL = ; Controller = ; Action = ;
Date = 2017-10-05 12:30:00.3014; IP = ; URL = ; Controller = ; Action = ;
